Nível,Data e Hora,Fonte,Identificação do Evento,Categoria da Tarefa
Informações,02/08/2025 12:40:21,Microsoft-Windows-Security-SPP,16384,Nenhum,Serviço Proteção de Software agendado com êxito para reiniciar em 2125-07-09T15:40:21Z. Motivo: RulesEngine.
Informações,02/08/2025 12:39:48,Microsoft-Windows-Security-SPP,16394,Nenhum,Êxito na migração de nível inferior offline.
Informações,02/08/2025 12:39:20,Edge,256,(1),[43588:29496:0802/123920.894:INFO:chrome\browser\extensions\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.
Informações,02/08/2025 12:38:28,Windows Error Reporting,1001,Nenhum,"Falha no bucket 2117256561372704789, tipo 5
Nome do Evento: MoAppCrash
Resposta: Não disponível
ID do CAB: 0

Assinatura do problema:
P1: B9ECED6F.ArmouryCrate_6.2.11.0_x64__qmba6cd70vzyy
P2: praid:App
P3: 10.0.26100.1
P4: 5bc61463
P5: combase.dll
P6: 10.0.26100.4768
P7: 27fb133a
P8: 80004003
P9: 00000000000aa3f4
P10: 

Arquivos anexados:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.24b2d97f-b366-428c-9393-f43b15420ea7.tmp.WERInternalMetadata.xml

Esses arquivos talvez estejam disponíveis em:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_B9ECED6F.Armoury_61a24ee04a2a491c5a4e13e0465f7e99a2d536_b63ef7d6_f073f36f-728b-4dcf-b070-3fea0a8899b8

Símbolo da análise: 
Verificando novamente se há uma solução: 0
ID do Relatório: c78fd827-faf7-41b0-8cd1-a8342020dfac
Status do Relatório: 268435456
Bucket com hash: 7eb05f3d286e78e49d62019ff6fc3015Guid do CAB: 0"
Informações,02/08/2025 12:38:26,Windows Error Reporting,1001,Nenhum,"Falha no bucket , tipo 0
Nome do Evento: LiveKernelEvent
Resposta: Não disponível
ID do CAB: 0

Assinatura do problema:
P1: 141
P2: ffff868a0996c400
P3: fffff804b8614580
P4: 0
P5: ffff868a0867e080
P6: 10_0_26100
P7: 0_0
P8: 256_1
P9: 
P10: 

Arquivos anexados:
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250802-1237.dmp
\\?\C:\WINDOWS\SystemTemp\WER-161301468-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b734b75e-ff3a-4500-a967-da99f40438fd.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.24ecc8fc-5d47-44a2-8581-ca2862feb721.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.84fbeaee-4d25-49ca-82c9-6f30f0733117.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ad806a62-f7a4-4b1b-bd3f-d5fdce5f13b6.tmp.xml

Esses arquivos talvez estejam disponíveis em:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_141_ad56c14920a4b83339d6c6fa35b79edf0438b62_00000000_a509324b-db17-483a-bc6a-d1e0ac3e9208

Símbolo da análise: 
Verificando novamente se há uma solução: 0
ID do Relatório: a509324b-db17-483a-bc6a-d1e0ac3e9208
Status do Relatório: 2049
Bucket com hash: Guid do CAB: 0"
Informações,02/08/2025 12:38:26,Windows Error Reporting,1001,Nenhum,"Falha no bucket , tipo 0
Nome do Evento: MoAppCrash
Resposta: Não disponível
ID do CAB: 0

Assinatura do problema:
P1: B9ECED6F.ArmouryCrate_6.2.11.0_x64__qmba6cd70vzyy
P2: praid:App
P3: 10.0.26100.1
P4: 5bc61463
P5: combase.dll
P6: 10.0.26100.4768
P7: 27fb133a
P8: 80004003
P9: 00000000000aa3f4
P10: 

Arquivos anexados:

Esses arquivos talvez estejam disponíveis em:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_B9ECED6F.Armoury_61a24ee04a2a491c5a4e13e0465f7e99a2d536_b63ef7d6_f073f36f-728b-4dcf-b070-3fea0a8899b8

Símbolo da análise: 
Verificando novamente se há uma solução: 0
ID do Relatório: c78fd827-faf7-41b0-8cd1-a8342020dfac
Status do Relatório: 4
Bucket com hash: Guid do CAB: 0"
Erro,02/08/2025 12:38:25,Application Error,1000,Eventos de falha do aplicativo,"Nome do aplicativo com falha: backgroundTaskHost.exe, versão: 10.0.26100.1, carimbo de data/hora: 0x5bc61463
Nome do módulo com falha: twinapi.appcore.dll, versão: 10.0.26100.4768, carimbo de data/hora: 0xac34b171
Código de exceção: 0xc000027b
Deslocamento de falha: 0x0000000000072d03
ID do processo com falha: 0x95F8
Hora de início do aplicativo com falha: 0x1DC03C3774AEF99
Caminho do aplicativo com falha: C:\WINDOWS\system32\backgroundTaskHost.exe
Caminho do módulo com falha: C:\Windows\System32\twinapi.appcore.dll
ID do relatório: c78fd827-faf7-41b0-8cd1-a8342020dfac
Nome completo do pacote com falha: B9ECED6F.ArmouryCrate_6.2.11.0_x64__qmba6cd70vzyy
ID do aplicativo relativo ao pacote com falha: App"
Informações,02/08/2025 12:38:10,Microsoft-Windows-Winlogon,6000,Nenhum,O assinante de notificação do winlogon <SessionEnv> não estava disponível para tratar de um evento de notificação.
Informações,02/08/2025 12:38:10,Microsoft-Windows-Winlogon,6003,Nenhum,O assinante de notificação do winlogon <SessionEnv> não estava disponível para tratar de um evento de notificação crítico.
Informações,02/08/2025 12:38:09,Windows Error Reporting,1001,Nenhum,"Falha no bucket , tipo 0
Nome do Evento: LiveKernelEvent
Resposta: Não disponível
ID do CAB: 0

Assinatura do problema:
P1: 141
P2: ffff868a0996c400
P3: fffff804b8614580
P4: 0
P5: ffff868a0867e080
P6: 10_0_26100
P7: 0_0
P8: 256_1
P9: 
P10: 

Arquivos anexados:
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250802-1237.dmp
\\?\C:\WINDOWS\SystemTemp\WER-161301468-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b734b75e-ff3a-4500-a967-da99f40438fd.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.24ecc8fc-5d47-44a2-8581-ca2862feb721.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.84fbeaee-4d25-49ca-82c9-6f30f0733117.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ad806a62-f7a4-4b1b-bd3f-d5fdce5f13b6.tmp.xml

Esses arquivos talvez estejam disponíveis em:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_141_ad56c14920a4b83339d6c6fa35b79edf0438b62_00000000_a509324b-db17-483a-bc6a-d1e0ac3e9208

Símbolo da análise: 
Verificando novamente se há uma solução: 0
ID do Relatório: a509324b-db17-483a-bc6a-d1e0ac3e9208
Status do Relatório: 2049
Bucket com hash: Guid do CAB: 0"
Informações,02/08/2025 12:37:25,Microsoft-Windows-Winlogon,6000,Nenhum,O assinante de notificação do winlogon <SessionEnv> não estava disponível para tratar de um evento de notificação.
Informações,02/08/2025 12:37:24,Microsoft-Windows-Winlogon,6000,Nenhum,O assinante de notificação do winlogon <WSearch> não estava disponível para tratar de um evento de notificação.
Informações,02/08/2025 12:37:24,Windows Error Reporting,1001,Nenhum,"Falha no bucket , tipo 0
Nome do Evento: LiveKernelEvent
Resposta: Não disponível
ID do CAB: 0

Assinatura do problema:
P1: 141
P2: ffff868a0996c400
P3: fffff804b8614580
P4: 0
P5: ffff868a0867e080
P6: 10_0_26100
P7: 0_0
P8: 256_1
P9: 
P10: 

Arquivos anexados:
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250802-1237.dmp
\\?\C:\WINDOWS\SystemTemp\WER-161301468-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b734b75e-ff3a-4500-a967-da99f40438fd.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.24ecc8fc-5d47-44a2-8581-ca2862feb721.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.84fbeaee-4d25-49ca-82c9-6f30f0733117.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ad806a62-f7a4-4b1b-bd3f-d5fdce5f13b6.tmp.xml

Esses arquivos talvez estejam disponíveis em:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_141_ad56c14920a4b83339d6c6fa35b79edf0438b62_00000000_a509324b-db17-483a-bc6a-d1e0ac3e9208

Símbolo da análise: 
Verificando novamente se há uma solução: 0
ID do Relatório: a509324b-db17-483a-bc6a-d1e0ac3e9208
Status do Relatório: 2049
Bucket com hash: Guid do CAB: 0"
