Nível,Data e Hora,Fonte,Identificação do Evento,Categoria da Tarefa
Informações,02/08/2025 12:46:47,Microsoft-Windows-IsolatedUserMode,2,Nenhum,Secure Trustlet Id 6 and Pid 5232 stopped with status STATUS_SUCCESS.
Informações,02/08/2025 12:39:41,Microsoft-Windows-IsolatedUserMode,1,Nenhum,Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 5232 started with status STATUS_SUCCESS.
Informações,02/08/2025 12:39:41,Microsoft-Windows-IsolatedUserMode,5,Nenhum,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Informações,02/08/2025 12:39:36,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Tentativa de adicionar URL (http://localhost:54288/) ao grupo de URLs (0xFE00000720000002). Status: 0x0. ID do processo 0xA498 caminho executável \Device\HarddiskVolume3\Program Files (x86)\Overwolf\0.280.2.1\OverwolfBrowser.exe, Usuário PC004\FakeZero"
Informações,02/08/2025 12:39:36,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Criar grupo de URLs 0xFE00000720000002. Status 0x0. ID do processo 0xA498 caminho executável \Device\HarddiskVolume3\Program Files (x86)\Overwolf\0.280.2.1\OverwolfBrowser.exe, Usuário PC004\FakeZero"
Aviso,02/08/2025 12:38:58,Microsoft-Windows-DistributedCOM,10016,Nenhum,"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 e APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 ao usuário PC004\FakeZero SID (S-1-5-21-1488674292-4050452929-3426693967-1001) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Informações,02/08/2025 12:38:50,Microsoft-Windows-IsolatedUserMode,5,Nenhum,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Informações,02/08/2025 12:38:45,Service Control Manager,7045,Nenhum,"Foi instalado um serviço no sistema

Nome do Serviço:  CorsairLLAccessE5624B0A345A7E17A08498BFEDC2D42A7CBA71C2
Nome do Arquivo de Serviço:  C:\Program Files\Corsair\Corsair Device Control Service\bin\CorsairLLAccess64.sys
Tipo de Serviço:  driver de modo kernel
Tipo de Início de Serviço:  iniciar automaticamente
Conta de Serviço:  "
Informações,02/08/2025 12:38:22,Service Control Manager,7045,Nenhum,"Foi instalado um serviço no sistema

Nome do Serviço:  R0CPUCOOLERV4_0
Nome do Arquivo de Serviço:  C:\Program Files (x86)\CPU COOLER V4.0\CPU COOLER V4.0.sys
Tipo de Serviço:  driver de modo kernel
Tipo de Início de Serviço:  iniciar demanda
Conta de Serviço:  "
Aviso,02/08/2025 12:38:10,Microsoft-Windows-DistributedCOM,10016,Nenhum,"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 e APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Aviso,02/08/2025 12:38:10,Microsoft-Windows-DistributedCOM,10016,Nenhum,"As configurações de permissão específico do aplicativo não concedem permissão Local Ativação para o aplicativo de Servidor COM com CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 e APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 ao usuário AUTORIDADE NT\SERVIÇO LOCAL SID (S-1-5-19) do endereço LocalHost (Usando LRPC) que está sendo executado no contêiner de aplicativos Não Disponível SID (Não Disponível). Essa permissão de segurança pode ser modificada com a ferramenta administrativa Serviços de Componentes."
Informações,02/08/2025 12:38:10,Microsoft-Windows-Winlogon,7001,(1101),Notificação de Logon do Usuário para Programa de Aperfeiçoamento da Experiência do Usuário
Informações,02/08/2025 12:38:10,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Tentativa de adicionar URL (http://*:5357/02040de6-142c-4724-a31c-f3602a83106c/) ao grupo de URLs (0xFD00000520000001). Status: 0x0. ID do processo 0x2348 caminho executável \Device\HarddiskVolume3\Windows\System32\svchost.exe, Usuário SERVIÇO LOCAL"
Informações,02/08/2025 12:38:10,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Criar grupo de URLs 0xFD00000520000001. Status 0x0. ID do processo 0x2348 caminho executável \Device\HarddiskVolume3\Windows\System32\svchost.exe, Usuário SERVIÇO LOCAL"
Informações,02/08/2025 12:38:10,Microsoft-Windows-HttpService,117,HTTP Configuration Property Trace Task,"Excluir o grupo de URLs 0xFE00000620000002. Status 0x0. ID do processo 0x2348 caminho executável \Device\HarddiskVolume3\Windows\System32\svchost.exe, Usuário SERVIÇO LOCAL"
Informações,02/08/2025 12:38:10,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"URL (http://*:5357/02040de6-142c-4724-a31c-f3602a83106c/) removida do grupo de URLs (0xFE00000620000002). ID do processo 0x2348 caminho executável \Device\HarddiskVolume3\Windows\System32\svchost.exe, Usuário SERVIÇO LOCAL"
Informações,02/08/2025 12:38:09,Microsoft-Windows-Power-Troubleshooter,1,Nenhum,"O sistema continuou após retornar do modo de suspensão.

Hora da Suspensão: ‎2025‎-‎08‎-‎02T15:37:25.521189700Z
Hora da Ativação: ‎2025‎-‎08‎-‎02T15:38:08.746088300Z

Ativar Origem: Unknown"
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Power,566,(268),"A sessão do sistema fez a transição de 10 para 12.

motivo Unknown 

BootId: 31"
Informações,02/08/2025 12:38:08,BTHUSB,18,Nenhum,O Windows não pode armazenar códigos de autenticação Bluetooth (chaves de link) no adaptador local. Os teclados Bluetooth podem não funcionar no BIOS do sistema durante a inicialização.
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Power,566,(268),"A sessão do sistema fez a transição de 9 para 10.

motivo SxTransition 

BootId: 31"
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Boot,247,(99),"Não é possível carregar Pluton-Windows firmware. StatusCode: STATUS_SUCCESS, Motivo: Failed to apply firmware."
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Boot,27,(33),O tipo de inicialização era 0x1.
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Boot,25,(32),A política do menu de inicialização era 0x1.
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Boot,32,(58),O bootmgr gastou 0 ms aguardando a entrada do usuário.
Informações,02/08/2025 12:38:08,Microsoft-Windows-Kernel-Boot,18,(57),Há 0x1 opções de inicialização no sistema.
